tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_tmag,st_teff,st_logg,st_rad,pl_eqt
1,25.5195307,6.6877451,558.3758637,2.9641461,7.9995,5742.22,4.29,1.17321,662.8890748
2,1.3812115,2.7372191,117.7553083,2.2402361,8.004,6711,4.06358,1.7756799,2222.614552
2,2.3922703,9.0053425,63.575141,3.5905923,8.3902,6090,3.29864,4.1956,2954.822621
0,0.831542,1.985538,248.969585,1.881684,8.6014,5824,4.438,1.1512,1999.379666
2,2.6282553,2.0930597,75.2858004,0.9817044,9.2397,6282,4.37809,1.10743,1418.114438
2,3.4239436,1.9601023,443.6391381,1.7581475,10.5924,5626,4.56195,0.823019,1056.380055
2,10.983042,3.7478987,725.1724567,2.5070075,10.5924,5626,4.56195,0.823019,716.2888325
2,17.726449,3.4404719,747.7725499,2.261664,10.5924,5626,4.56195,0.823019,610.6445415
2,40.7199388,4.2436925,355.619391,3.2352713,9.597,5914,3.98,1.55953,668.3063106
2,14.7741056,5.504,15041,15.3936,9.9358,6053,4.3135,1.23,928
0,79.3739596,5.392,1227,2.17454,11.1762,5168.33,4.60584,0.77,368
2,18.1663644,2.464,624,2.80447,9.8135,5572.9,3.83,1.14,562
2,105.5850893,11.6068811,462.9116325,2.5033335,10.4016,5909.57,4.26154,1.1142,429.5758177
0,27.2149622,3.7190483,4731.404623,8.3475973,10.6392,6270,4.54537,0.989667,573.0537137
2,19.1807264,3.9621084,544.5602695,2.4311768,10.0329,5262.4,3.98,0.937973,611.0168649
2,1.2124493,0.9984653,501.2911711,0.879419,10.42,3751,4.75718,0.518,1092.125026
2,4.5541831,7.8146963,187.8286128,0.8887417,11.546,4280,4.61209,0.635812,694.0557871
2,41.4856125,6.6899368,959.7522291,12.5121956,9.6517,6354,4.24472,3.4868701,1035.00054
2,13.7738265,2.9992376,338.2166234,1.8971927,10.3869,5455.96,4.46737,1.01825,730.4597521
2,1.9142544,3.256,248,2.04421,10.1207,6734,4.18582,1.59,2462
1,5.0780325,1.2100353,5923.128307,2.6347763,13.084,3318,4.9581,0.334125,431.253644
2,70.3607265,1.0325441,1353.967825,8.2807306,9.5298,6308,3.98679,2.0982201,685.259664
1,91.6827832,9.7504857,713.2183569,3.239855,10.0564,5802,4.44521,1.01814,399.0780255
2,10.1944993,2.2648785,317.3261147,2.7392825,10.3014,6082,4.33287,1.32661,994.4291411
0,14.64319,2.5483426,242.7923919,3.41248,9.3109,6516,3.99366,2.04178,1134.279147
1,4.1782656,1.675904,2537.67816,2.1023854,11.556,3442,4.893,0.404403,492.7241583
1,17.9453645,3.0740072,5480.684864,3.3839124,11.556,3442,4.893,0.404403,303.1226876
2,13.896396,3.5885605,748.5332881,2.4586343,11.7582,5522.87,4.67156,0.888163,686.1495861
2,8.1213102,3.1040945,594.6443745,2.3157186,11.7582,5522.87,4.67156,0.888163,820.6868999
2,3.9287851,1.8165271,485.9762569,2.329279,11.5514,5668.15,4.52573,0.986943,1123.439869
1,27.3613778,4.0586418,20690.66843,6.4522449,13.802,3050,4.438,0.44128,243.7718547
1,29.0497517,7.117,318,2.84674,9.0963,8208,4.25979,1.8,1115
2,31.8132264,11.2567164,11479.37555,21.6314984,10.779,6028.84,3.96199,1.98893,672.8454841
1,3.3088922,6.114,4736,24.9862,7.87598,6188,4.27166,2.62,3184
